name lat lon begin end
0SKO 63.3782 17.8836 2007-08-26 2024-08-24
0SKR 57.8872 14.364200000000011 2019-05-20 2024-08-24
0SKU 55.4772 13.502399999999994 2012-01-11 2019-11-24
0SKV 58.3873 13.840100000000007 2011-02-11 2014-03-21
0SKY 60.0746 17.74430000000001 2013-05-28 2024-08-24
0SLI 57.7065 18.79820000000001 2011-07-09 2024-08-24
0SLU 65.4316 16.24539999999999 2008-02-28 2024-08-24
0SMA 57.1613 13.405100000000004 2011-12-20 2024-08-24
0SMY 55.3457 13.369900000000001 2002-09-09 2024-08-24
0SNA 63.1735 15.85990000000001 2007-09-19 2024-08-24
0SNE 57.4928 12.647400000000005 2011-02-18 2024-08-24
0SNG 65.8589 23.494 2008-06-27 2019-01-21
0SOA 56.4492 16.071799999999996 2012-12-10 2024-08-24
0SOD 60.4373 18.416300000000007 2002-04-22 2024-08-24
0SOL 59.4444 17.9529 2010-10-21 2024-08-24
0SOP 68.0909 21.691900000000004 2009-05-30 2024-08-24
0SOR 65.5352 17.53989999999999 2007-08-24 2024-08-24
0SOV 57.7406 15.799900000000008 2013-12-03 2024-08-24
0SPR 57.7153 12.89070000000001 2008-10-14 2015-10-08
0SSB 65.6585 21.94290000000001 2023-02-06 2024-08-24
0SSK 60.376 18.246399999999994 2020-01-23 2024-08-24
0STA 59.3089 18.693299999999994 2001-09-17 2024-08-24
0STD 62.408 16.5694 2014-02-17 2024-08-24
0STF 59.5324 14.27279999999999 2013-01-14 2024-08-24
0STH 59.3176 18.02340000000001 2006-07-01 2012-10-14
0STI 59.7064 15.096699999999998 2015-04-09 2024-08-24
0STJ 58.7301 16.41069999999999 2015-05-30 2024-08-24
0STL 63.3017 12.121800000000007 2007-12-13 2024-08-24
0STN 59.3756 17.021500000000003 2011-11-24 2024-08-24
0STO 57.3156 14.594699999999989 2004-01-30 2024-08-24
0STR 58.9366 11.181299999999993 2005-11-12 2024-08-24
0STS 63.8524 15.561199999999985 2007-08-28 2024-08-24
0STU 65.0925 17.105099999999993 2007-08-28 2024-08-24
0STV 60.5955 16.5497 2014-02-25 2016-06-17
0STY 57.6186 11.760400000000004 2020-08-21 2024-08-24
0SUM 62.3831 17.334100000000007 2011-06-09 2019-01-25
0SUN 62.2325 17.659899999999993 1994-01-22 2024-08-24
0SUR 57.831 12.017300000000006 2006-03-20 2024-08-24
0SVA 60.913 16.140199999999993 2005-12-01 2021-07-06
0SVD 55.51 13.235099999999989 2011-11-18 2024-08-24
0SVE 62.0174 14.699999999999989 1994-01-22 2024-08-24
0SVI 57.077 16.860600000000005 2018-12-04 2024-08-24
0SVJ 59.8099 17.7029 2023-02-02 2024-08-24
0SVL 55.9202 13.11099999999999 2018-01-02 2024-08-24
0SVP 67.6491 21.05529999999999 2011-06-10 2024-08-24
0SVS 56.2616 14.769499999999994 2012-12-22 2024-08-24
0SVT 64.512 21.0616 2019-08-28 2024-08-24
0SYS 60.7103 12.885699999999986 2016-02-16 2024-08-24
0TAV 64.0374 20.0462 2015-04-09 2024-08-24
0TEG 63.8196 20.24430000000001 2019-06-07 2024-08-24
0TEN 57.7048 14.324299999999994 2019-05-14 2022-10-27
0TIV 58.7806 14.5368 2011-10-24 2024-08-24
0TJU 57.9647 12.112200000000001 2006-03-30 2024-08-24
0TNN 57.1376 12.276499999999999 2020-06-12 2024-08-24
0TOC 59.5084 11.833500000000015 2015-12-08 2024-08-24
0TOK 56.4128 12.625 2018-01-09 2024-08-24
0TOR 57.0334 14.571799999999996 2011-07-01 2024-08-24
0TOS 58.9739 12.6353 2012-11-21 2022-03-27
0TOU 56.9602 13.074000000000012 2012-03-06 2024-08-24
0TRA 57.4842 13.351300000000009 2011-01-20 2020-04-22
0TRE 56.6966 16.120900000000006 2018-10-16 2024-08-24
0TRL 57.0574 12.31280000000001 2020-06-13 2024-08-24
0TRN 58.0285 14.992099999999994 2011-10-12 2024-08-24
0TRO 58.2523 12.280100000000004 2009-11-14 2023-11-14
0TUA 57.5748 16.10990000000001 2012-12-21 2024-08-24
0TUH 60.3367 15.193999999999988 2016-04-21 2024-08-24
0TUN 59.1066 18.043900000000008 2010-07-15 2024-08-24
0TVS 56.6243 16.043299999999988 2018-10-12 2024-08-24
